V6,V78
137,0
2,0
7,0
108,1
15,0
1108,1057
6,0
0,0
1,1
0,0
0,0
1,0
0,0
2,0
115,0
1,0
0,0
0,0
22,0
14,0
0,0
5,0
0,0
0,0
0,0
0,0
6,0
0,0
452,0
1,0
1,0
0,0
0,1
16,1
0,0
34,0
0,0
5,0
56,0
1,2
16,0
24,0
4,0
0,0
3,0
231,0
4,0
1,0
6,0
30,0
0,0
28,0
2,0
1,0
1,0
54,0
19,0
3,0
1,0
0,0
1,0
0,1
0,0
1,0
0,0
0,0
0,0
3,0
1,0
0,0
0,0
40,0
73,0
798,0
1,0
8,0
0,0
0,1
2,0
1,0
0,0
56,0
1,0
24,0
67,0
1031,1
0,0
5,0
0,0
1,1
0,0
0,0
12,0
91,0
0,0
6,0
0,0
819,0
0,0
0,1
156,1
0,0
2,0
0,0
0,0
21,0
0,0
125,0
0,0
0,0
0,0
26,0
2,1
0,0
0,0
6,0
0,0
3,0
1,0
15,0
