,V48,V42,V35,V18,V23,V44,V36,V1,V19,V5
V48,0.0,0.0,0.0,0.0,0.33870131010963445,0.20509621593629312,0.20519799718651266,0.0,0.0,0.0
V42,0.0,0.0,0.21749195494250007,0.12455259068690983,0.0,0.0,0.0,0.019803941180392304,0.43627724437624427,0.0
V35,0.0,0.21749195494250007,0.0,0.30518632454726213,0.0,0.0,0.0,0.1908452201213221,0.0,0.0
V18,0.0,0.12455259068690983,0.30518632454726213,0.0,0.0,0.0,0.0,0.10323928043890929,0.0,0.0
V23,0.33870131010963445,0.0,0.0,0.0,0.0,0.11299712287435237,0.11306525645716858,0.0,0.0,0.0
V44,0.20509621593629312,0.0,0.0,0.0,0.11299712287435237,0.0,5.867158295869146e-07,0.0,0.0,0.0
V36,0.20519799718651266,0.0,0.0,0.0,0.11306525645716858,5.867158295869146e-07,0.0,0.0,0.0,0.0
V1,0.0,0.019803941180392304,0.1908452201213221,0.10323928043890929,0.0,0.0,0.0,0.0,0.0,0.0
V19,0.0,0.43627724437624427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48794494665714483
V5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48794494665714483,0.0
