V15,V78
0,1
1,1
0,0
1,0
165,0
0,0
0,1
0,0
0,0
0,0
0,1
1,0
1326,2
0,0
0,0
0,1
0,0
354,0
0,0
0,0
7,0
0,0
0,0
0,0
1,0
0,1
0,0
0,0
477,1
0,1
1,1
0,0
49,0
0,0
0,0
0,0
0,0
999,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
40,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
2,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,1
29,0
0,0
0,0
1,0
92,0
0,0
272,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
