V17,V30
4,10
0,1
0,0
2,0
0,1
0,0
0,0
0,0
5,4
0,0
0,0
0,0
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,101
0,0
0,0
0,0
2,0
0,0
1,0
1,0
0,0
1,0
0,4
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,0
0,1
0,0
1,0
0,1
0,0
0,407
0,0
0,0
1,0
0,1
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
2,0
1,1
0,0
0,687
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,16
0,11
1,0
0,0
2,0
0,0
0,0
0,0
6,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
14,1663
0,0
0,229
0,0
0,0
0,0
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,4
0,0
0,0
0,0
