V19,V37,V30
2,0,0
4,0,3
1,0,0
5,0,0
399,2,2
73,2,1
20,0,1
1,0,1
30,0,1
4,0,0
85,0,0
93,0,1
166,0,1
15,1,0
0,0,0
5,0,0
896,4,5
2,0,0
0,1,0
3,0,0
278,0,1
3,1,1
2,0,1
14,0,0
1,0,1
2,0,0
79,0,0
3,0,0
198,0,0
6,0,0
56,0,0
0,1,0
1,0,0
199,2,0
2,1,1
17,0,0
13,1,0
7,2,0
0,0,0
1,0,0
0,0,1
4,0,0
3,0,0
0,0,0
7,1,0
146,0,0
5,0,0
26,0,0
4,1,0
11,0,2
11,0,0
0,0,0
1,0,0
0,0,0
4,0,0
23,0,0
0,0,0
15,0,0
63,1,0
1,0,0
0,0,0
7,1,0
1,0,2
0,1,0
21,0,1
2,0,0
6,1,0
0,1,0
1,0,1
380,1,0
304,2,2
1,0,0
19,0,0
13,3,2
13,0,1
3,0,0
1,0,0
19,0,0
6,1,0
25,0,0
