V2,V99
0,1
2,5
4,1
0,0
7,1
3,0
0,0
19,0
44,101
0,4
0,266
2,25
371,152
21,20
0,0
133,2
116,2
0,633
9,35
9,5
4,2
9,7
1,1
0,0
1116,6
6,5
0,1
24,0
5,0
0,16
17,1
6,0
2,2
0,203
1,1
4,3
51,7
1,0
1,1
1,0
30,11
362,0
63,0
3,45
20,2
5,0
2,0
0,4
2,0
5,9
0,2
2,16
28,66
4,1
3,0
755,741
6,130
0,7
1,0
1115,404
9,1
0,0
0,0
41,0
1,15
2,21
131,0
5,1
2,3
18,7
24,21
1,0
2,2
0,1
0,0
22,1
0,239
0,14
15,44
4,11
3,95
81,0
0,0
14,0
2,47
10,0
0,17
0,0
0,12
6,1
2,1
16,5
0,4
1,2
0,0
1,2
192,8
0,1
22,4
6,16
0,1
1389,460
2,1
0,3
2,40
5,5
0,14
11,97
2,0
12,7
0,278
0,0
10,0
6,22
1,0
0,1
46,17
0,0
56,1
30,3
