V29,V89
0,1
1,0
2,0
1,5
2,0
0,1
929,932
0,0
46,0
153,35
3,1
1,1
2,36
1,64
3,0
1,4
2,0
0,7
0,36
5,0
53,14
502,1
54,3
1,0
0,0
0,0
1,0
2,2
0,22
1,0
0,50
6,0
0,0
1,0
8,0
25,0
0,69
1,0
0,23
68,6
0,0
85,0
12,188
33,0
1,0
1,0
15,0
22,2
0,0
0,0
6,0
0,0
0,202
93,0
0,0
10,0
1,174
6,0
216,1
0,0
1,1
1,4
0,0
5,103
771,3
4,0
1,13
0,0
0,6
0,7
27,2
0,207
5,0
1,1
1,56
0,0
61,1
0,0
3,42
0,2
9,31
3,9
5,0
4,1
0,1
15,1
1,16
1,1
0,1
0,1
0,375
3,1
0,0
0,0
973,1008
0,1
4,270
0,15
908,0
0,1
0,1
5,37
0,0
0,0
0,1
27,8
2,805
4,1
0,10
1,2
1,1
1,1
4,13
11,0
0,0
0,0
0,17
0,75
0,10
3,2
