V13,V49,V38
0,0,2
1,0,10
1,3,40
1,1,4
2,308,3
0,1,1572
0,6,3
0,1,244
1,570,4
2,2,823
0,0,3
0,176,64
0,1,126
0,46,0
0,1,21
0,0,2
1,128,11
0,1305,1
1,10,10
0,10,1968
0,48,1
0,1,297
3,76,33
0,1050,1
0,10,27
0,0,1
0,1485,1
0,6,14
0,0,1
0,33,17
0,798,832
0,57,3
0,0,3
0,1,23
0,10,0
0,3,673
0,208,224
0,9,128
1,3,93
1,8,5
1,2,0
0,26,1
2,421,400
0,0,106
0,1,3
0,12,234
0,1,1
1,2,0
1,34,2
0,1,106
0,0,328
0,111,8
1,0,2
0,146,1
1,1,1
0,3,54
1,1,0
1,1,2
0,550,1
0,0,23
0,4,2
0,167,168
0,1,11
0,302,11
0,0,0
0,14,1
1,0,17
2,1,6
0,0,11
0,0,1
653,1932,1938
1,0,4
0,81,14
0,2,0
0,2,1
0,0,399
0,0,9
0,0,0
1,2,2
0,0,184
