V37,V9,V25,V13,V30,V24
0,0,0,0,0,0
1,1,1,0,1,0
0,0,1,0,0,1
0,1,0,0,0,1
0,1,0,0,0,0
0,0,0,1,0,1
0,1,1,1,1,2
0,0,0,0,0,0
8,5,5,2,6,6
2,1,2,0,1,1
0,1,1,0,2,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,1,0,1
1,0,0,0,0,0
1,1,1,0,1,1
1,1,1,0,0,1
2,0,0,0,1,1
7,1,0,2,1,3
2,0,0,0,0,0
0,0,0,0,1,1
0,0,3,0,0,0
1,2,1,0,4,1
0,0,1,1,0,0
1,0,1,2,0,1
0,0,0,1,0,0
0,0,0,0,1,0
1,0,0,1,0,1
2,0,1,1,0,0
0,0,0,0,1,1
2,1,2,2,2,2
3,1,1,1,0,2
0,0,0,0,0,1
0,1,1,0,0,1
0,2,2,2,0,3
0,0,1,0,1,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,4,2,0,0,2
0,0,0,0,0,0
6,9,10,12,6,9
1,0,0,0,0,2
0,0,1,0,1,0
2,2,4,3,2,6
1,0,1,1,1,1
1,0,0,0,0,0
2,1,1,0,1,1
0,0,0,0,0,0
1,1,0,0,0,0
0,0,1,1,1,1
1,0,0,0,1,1
0,1,0,0,0,0
0,0,0,0,0,2
1,0,2,0,0,0
0,0,0,0,0,2
0,0,0,0,0,0
0,1,1,1,1,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,0,0,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,1,1
0,0,0,1,0,1
0,0,0,1,1,0
0,0,0,1,0,0
0,1,1,0,0,0
1,0,0,0,0,0
1,0,0,0,1,2
0,1,0,0,0,2
0,1,0,1,0,0
2,2,0,0,0,1
1,0,2,2,0,0
2,1,0,1,0,0
0,1,1,0,0,0
