V18,V9
0,0
0,1
0,0
5,0
36,0
0,0
0,2
0,0
1,1
2,0
1,2
16,1
1,1
0,0
12,0
0,0
369,0
6,0
0,0
0,0
1,0
1,1
0,141
54,7
0,0
39,1
0,1
0,201
0,0
0,19
3,1
0,3
0,5
4,0
1,0
0,1
1,0
19,0
1,15
0,0
64,9
1,1
49,0
0,0
2,1
260,0
353,0
2,0
9,2
1,16
0,1
0,1
756,1996
0,0
0,0
1,985
2,0
0,0
0,0
1,0
23,1
0,1
0,74
0,0
4,3
49,1
0,1
8,1
0,36
4,0
0,1
12,0
1,0
0,0
0,1
0,1021
0,1
0,18
0,0
284,295
2,211
18,0
400,0
45,0
31,1
0,0
0,0
0,1
2,2
7,1
61,0
4,766
0,0
0,2
1,0
2,0
0,0
3,5
1,136
0,1
0,0
0,0
135,0
27,0
145,0
0,0
13,3
0,1
1,0
2,1
0,10
0,1
0,2
3,1
0,0
0,4
9,0
8,0
0,0
0,0
