V49,V46,V56,V74,V75,V61,V39,V96
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0
0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0
0,0,0,1,0,3,0,1
0,0,0,0,1,0,0,1
0,0,2,1,0,0,0,0
0,1,2,0,0,0,0,0
0,2,0,0,0,1,0,0
1,0,0,0,0,1,0,0
0,1,0,0,0,1,0,1
0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,1
0,1,2,1,1,0,1,0
0,0,1,0,1,0,0,1
2,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,1
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,1,1,0,0,1,0,0
0,0,0,0,3,1,1,1
0,1,1,0,0,0,0,1
1,0,1,0,1,0,0,1
1,1,0,0,0,0,0,0
0,0,1,2,1,1,0,0
0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
1,0,1,0,0,0,1,1
0,2,0,1,0,2,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,1,1,0,0,0,2,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0
0,1,2,1,0,0,2,1
0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0
0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0
0,3,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,1,0,0,2,1,0
1,1,0,0,1,1,0,0
0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0
1,0,0,0,0,1,2,1
1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0
1,0,0,0,0,0,1,1
1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,2
2,0,3,1,1,1,4,1
1,0,1,1,0,1,0,0
1,0,1,0,1,0,0,0
0,1,0,2,1,1,0,1
0,0,0,1,0,0,0,0
1,1,0,1,0,1,0,1
1,0,0,0,0,0,1,1
1,1,0,0,0,2,1,0
0,0,0,0,0,0,0,1
0,1,0,1,0,2,0,0
0,1,0,0,0,0,1,0
0,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0
0,1,1,3,2,2,1,0
1,2,0,1,0,0,1,0
1,0,1,0,0,0,0,0
1,2,0,1,1,0,0,0
0,0,0,1,0,1,1,0
0,1,0,1,1,0,0,0
0,0,1,0,0,0,0,0
0,1,1,0,4,0,0,0
0,1,0,0,0,0,0,0
0,1,0,1,0,0,0,1
1,0,1,0,0,1,0,1
1,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0
9,10,8,6,5,5,4,4
1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
0,0,2,1,0,0,0,1
0,0,0,0,0,0,1,1
1,0,0,1,2,1,3,0
0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,0
