V35,V7
0,3
1,829
0,125
0,1
0,4
0,0
0,0
0,0
1,2
0,0
1,0
1,243
1,3
2,2
0,105
0,0
0,0
0,0
0,1
0,1
1,0
0,0
1,49
2,0
0,2
0,1
3,0
0,1
0,6
3,0
0,75
2,0
0,5
0,2
0,0
0,1
0,11
0,0
0,10
0,1336
1,42
0,68
0,0
0,0
1,2
0,3
0,1
6,2
0,548
0,0
0,380
1,0
0,0
0,1
0,1
1,3
0,3
0,124
0,352
0,0
0,0
0,1
0,0
0,1
0,0
0,31
0,0
0,0
0,1
0,101
0,15
0,126
1,5
808,2222
0,2
1,2
1,0
0,5
0,0
0,0
0,84
0,0
0,1
0,0
1,2
0,0
1,1
0,0
0,2
0,8
2,0
0,178
0,0
0,566
0,31
0,16
0,1
0,1651
0,7
0,2
0,0
0,0
1,34
0,0
0,0
0,0
0,265
0,10
0,2
0,0
0,5
0,24
0,5
1,0
0,0
2,5
0,3
0,2
0,732
0,1
