V69,V29
17,36
417,429
32,1
0,0
10,1
2,6
0,0
0,73
2,0
10,0
922,5
1,0
1,25
177,3
0,1
0,25
0,0
0,1
1,326
1,2
14,0
0,0
2,4
6,2
0,0
0,0
0,0
4,98
1675,1601
1,2
1,6
0,5
2,3
2,0
23,2
39,340
0,0
0,2
0,2
14,1
4,796
1,2
0,10
0,1
0,2
4,33
6,2
6,3
0,23
7,4
750,2
1,177
0,1
0,0
1,27
0,0
29,2
1,1
7,10
4,3
67,1
0,6
1,0
1,0
3,3
6,3
0,1
0,2
0,0
2,62
196,76
0,1
1,1303
0,0
35,0
1,1
9,0
2,2
1,3
0,0
426,154
0,0
5,671
19,1
0,0
0,0
0,4
1,5
4,1
3,206
0,22
0,0
0,3
0,9
1,34
5,2
3,30
0,3
0,0
2,1
1,0
1,0
9,4
0,1
0,242
0,20
0,0
64,0
4,2
1,1
0,0
209,4
2,1
0,4
15,1
41,0
0,1
0,5
0,0
1,1
