V33,V99
2,112
843,818
2,86
0,0
0,0
1,0
2,6
53,2
0,0
0,25
3,0
0,0
76,5
0,2
2,5
0,1
0,0
1,0
0,0
1,8
8,1
13,3
24,0
0,15
0,0
11,0
76,0
0,163
6,3
0,0
2,10
2,0
9,10
23,2
0,1
0,1
1,0
4,0
3,0
0,0
5,2
1,59
0,1
20,1
43,1
2,30
26,16
0,1
1,0
3,0
0,351
55,0
0,0
3,0
0,0
0,7
0,34
287,11
28,34
2,0
0,0
0,0
37,1
1,0
733,4
0,1
11,2
1,1
0,0
10,0
5,0
0,0
0,1
0,0
5,1
0,3
3,0
4,13
0,1
2,1
0,0
1,0
64,0
2,92
0,0
6,0
699,105
1,74
1,6
50,20
0,47
0,1
4,2
45,0
0,0
416,0
0,0
1,1
0,8
391,28
8,5
0,10
0,0
0,0
18,1
1,1
2,1
0,0
6,1
0,1
2,0
0,1
76,0
1,0
0,0
1,0
0,1
1,6
18,1
0,1
