V2,V55
2,1
5,0
1,0
11,1
175,493
114,0
1,3
1,0
1,24
0,14
0,0
0,1
1,4
2,13
0,1
2,16
1,27
4,0
4,4
0,3
42,373
0,0
3,0
0,44
2,1
2,180
14,845
1,0
104,2
2,0
85,1
1,18
0,0
8,72
0,0
0,1
1,3
0,1
29,587
2,0
0,0
0,1
2,8
3,20
6,37
2,0
0,0
3,0
128,2
0,0
4,31
18,57
1317,1343
18,0
0,3
12,93
0,0
6,7
2,2
0,0
3,9
5,24
0,1
0,0
15,83
2,4
0,0
0,0
0,2
1,6
93,9
2,0
0,2
2,6
0,2
19,7
6,78
142,126
111,0
1,0
66,0
3,9
0,195
2,1
1,10
0,0
0,144
3,8
1,7
56,2
0,0
18,8
1,1
24,1
1,12
7,3
0,0
0,4
2,2
7,1
0,23
0,0
0,0
578,1
0,3
0,1
0,0
4,4
61,2
0,1
2,641
0,2
2,0
8,0
8,39
0,37
3,39
2,0
10,0
1,221
