"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,2895,0,0,991,0,1,0,2,1111
5000,0,0,0,0,0,0,0,0,0
0,0,5000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
0,0,0,0,0,0,5000,0,0,0
5,0,1,2428,2456,0,110,0,0,0
0,0,0,0,0,0,0,0,5000,0
0,0,0,0,5000,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5000
4694,73,0,228,0,4,1,0,0,0
0,0,0,0,0,0,0,5000,0,0
0,0,0,0,0,5000,0,0,0,0
0,1,0,0,0,0,4959,0,1,39
0,0,0,0,5000,0,0,0,0,0
0,0,6,6,0,4985,1,0,2,0
40,3046,170,59,24,141,395,15,59,1051
188,3297,67,14,6,1205,23,8,27,165
0,0,0,0,0,0,0,5000,0,0
10,4973,0,14,1,0,0,0,0,2
0,0,0,0,0,0,0,0,4889,111
5000,0,0,0,0,0,0,0,0,0
0,0,5000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,217,4783
0,0,0,0,5000,0,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
5000,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
4297,0,0,2,0,63,0,0,0,638
