V39,V97
0,2
0,1
0,22
0,12
0,1
0,1
0,1
0,0
0,45
0,4
0,0
0,0
1,0
3,2505
0,0
0,2
0,231
0,840
1,0
0,0
0,0
0,0
0,1
0,101
0,0
0,0
0,4
0,14
0,1
0,154
0,1
0,23
0,18
0,1
0,0
0,5
0,5
0,596
0,354
0,0
1,0
0,3
0,1
0,76
1,0
0,3
0,0
1,0
0,1
1,0
0,0
0,0
0,2
1,14
0,1
1,0
0,0
0,0
0,1
0,0
0,0
1,0
0,1
0,0
0,9
0,17
0,0
0,60
0,2
0,14
0,0
0,3
1,0
0,2
0,0
0,3
0,2
1,23
0,198
0,10
0,12
0,0
0,3
0,60
0,1
1,1
0,14
0,2
0,4
0,1
0,19
0,0
0,0
0,487
0,1
0,0
0,1
0,0
0,107
0,564
0,0
0,26
1,67
0,0
0,1
0,0
1,105
0,0
0,0
0,23
0,0
0,5
0,0
0,2
0,0
0,2
0,2
0,0
0,4
0,0
