"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
1.14258983506485,0.138692480697612,0,0,0.212910240754443,0,0,-0.0655516085450041,0.290191999107224,0
0.138692480697612,1.03532712960048,0,0,0,-0.0950462177494006,0.0816604815083469,0,0.0318392900334216,0
0,0,1.04337075738207,0,0.2038266962964,0,0,0,-0.00428200257303617,-0.0473017301955347
0,0,0,1.08817349566174,0.269875138627473,0,0.130715718235666,0.0283356861555395,0.0600769646136472,-0.00144120864088772
0.212910240754443,0,0.2038266962964,0.269875138627473,1.15682696635657,0,0,-0.0420218019266784,0.103088621818069,0.060721502775334
0,-0.0950462177494006,0,0,0,1.09145743609671,0.217060578132337,-0.176726705128765,0.0325106578313771,0.111172782886558
0,0.0816604815083469,0,0.130715718235666,0,0.217060578132337,1.1376025980567,0,0,0.285281148613691
-0.0655516085450041,0,0,0.0283356861555395,-0.0420218019266784,-0.176726705128765,0,1.24828242772713,0.487047681691649,0
0.290191999107224,0.0318392900334216,-0.00428200257303617,0.0600769646136472,0.103088621818069,0.0325106578313771,0,0.487047681691649,1.30085175807753,0.0970404890519256
0,0,-0.0473017301955347,-0.00144120864088772,0.060721502775334,0.111172782886558,0.285281148613691,0,0.0970404890519256,1.09196868712198
