V6,V27
0,2
57,54
125,915
8,0
1129,1105
2,9
20,153
23,443
5,0
68,1
90,80
0,57
4,0
3,6
0,4
7,22
1,4
6,2
2,0
0,0
26,0
1,1
8,24
4,1
0,0
0,20
0,36
24,504
6,0
3,3
4,0
20,5
8,0
1,1
6,1
0,0
307,778
5,3
18,9
0,1
8,18
4,0
218,0
0,188
0,0
0,0
5,1
2,1
1,28
32,187
164,0
85,5
0,2
2,0
0,0
9,3
0,463
3,1
0,0
113,0
0,0
108,0
58,178
0,0
17,0
0,0
3,5
1,1
0,0
118,341
2,1
1,6
0,3
29,0
1,428
2,2
0,56
19,5
0,1
1,0
1,1
10,1
2,2
28,0
4,3
4,1
3,0
0,1
0,1
39,2
7,70
0,1
1,0
1,29
6,1
19,0
1,1
236,604
7,0
2,0
0,0
0,6
1,0
0,5
3,0
882,142
0,1
771,110
80,2
2,0
10,1
14,2
2,1
1,284
0,1
1,0
0,52
0,0
6,4
1,0
