V25,V24,V37,V13,V30,V9
0,0,0,0,0,0
2,0,1,0,0,0
0,0,0,0,0,0
49,54,51,44,50,60
2,0,0,3,2,1
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,1,1
0,0,0,0,0,0
0,0,1,0,0,1
2,0,0,2,1,2
1,0,0,1,1,0
1,1,2,3,1,3
0,0,0,0,0,0
2,1,0,0,0,1
0,1,0,0,0,2
0,2,0,0,0,0
0,0,1,0,3,0
1,0,0,0,0,0
8,6,9,12,7,11
0,1,2,4,0,1
0,1,1,0,0,1
3,2,4,4,2,1
0,1,1,1,1,1
0,0,0,0,0,0
0,2,1,3,2,0
2,0,0,1,3,4
1,0,0,0,1,0
0,1,0,0,1,1
1,1,0,1,1,0
1,0,1,0,1,1
1,0,0,0,0,0
0,1,0,3,2,2
2,0,1,1,1,0
0,1,0,0,0,0
1,3,2,1,0,1
0,1,0,1,1,0
0,0,0,0,0,0
4,0,0,0,1,0
0,0,0,0,0,1
0,0,0,0,1,1
0,0,1,0,0,0
0,0,0,0,0,0
0,0,1,1,0,1
2,3,2,3,6,5
3,1,2,4,3,0
0,0,0,0,0,1
0,1,3,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,1,1,3,1,1
3,0,2,0,1,1
0,2,3,2,0,2
1,0,0,0,1,0
0,0,0,0,0,0
1,0,0,1,1,0
2,1,1,2,2,1
1,0,1,1,0,0
1,0,1,0,1,1
1,1,0,1,0,0
0,1,1,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,0,0,0,0
8,5,1,2,2,5
0,1,0,0,1,0
1,0,0,2,0,3
1,1,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,1
0,1,0,1,0,0
1,0,0,0,0,1
2,3,3,1,2,1
0,0,0,0,0,0
1,3,0,1,1,2
1,0,1,0,1,1
5,7,5,6,6,7
0,0,0,1,0,0
