V89,V30
467,0
0,0
168,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
462,0
775,0
1,1
2,0
79,1
925,134
0,0
0,0
2,1
0,0
0,0
0,0
10,0
0,0
0,0
15,0
0,0
967,0
2,0
0,0
0,0
67,0
120,0
1,0
0,0
0,1
40,0
327,1
0,0
0,2
2,0
0,0
0,0
1,0
0,0
0,0
1,0
5,0
0,1
0,0
0,0
0,0
2,0
3,0
0,0
52,0
0,0
1,0
0,1
2,1
2,0
1,0
1,0
0,1
126,0
0,0
0,0
5,0
0,0
23,0
1,0
0,1
0,0
6,0
2,0
4,0
0,0
0,0
0,0
11,0
1,1
1,0
0,0
5,0
1,0
0,0
13,0
0,0
0,1
4,0
2,0
63,0
0,0
28,0
2,1
5,0
16,0
1,0
3,0
150,0
0,0
2,0
0,0
0,0
255,0
29,0
0,0
0,1
10,0
1,0
1,0
0,0
1,1
410,0
0,0
3,0
1,0
0,0
