V9,V14
4,13
0,1
33,2
3,0
1,1
8,1512
0,83
0,47
1,3
2,1
0,161
2,1
1092,1080
20,0
0,18
4,0
6,1
0,24
7,3
31,1
1,0
0,0
4,1
2,72
15,4
9,18
1,3
3,367
0,186
0,3
215,687
454,3
5,0
0,1
20,67
0,0
31,1
5,1
1,1
2,2
6,0
2,1
2,6
1,1
6,0
0,0
2,0
15,2
1,2
0,0
2,14
64,0
0,271
0,2
0,1
0,3
1,1
0,0
0,1
6,1
0,3
5,0
2,0
3,3
5,0
2,0
14,7
32,0
1,2
15,87
106,1
0,4
21,345
0,445
0,0
50,149
1,4
1,1
52,7
5,16
9,0
5,2
3,2
8,4
2,0
1,9
0,8
1,23
0,4
6,7
1,29
5,0
48,3
102,1
3,2
0,0
1,1
0,1
3,2
1,0
0,1
659,639
2,13
0,1
0,3
1,20
0,20
68,0
24,3
12,4
0,0
4,1
1,859
2,9
0,0
1,0
0,4
6,17
1,1
0,22
