V6,V88
0,0
0,0
42,1
1,0
0,1
1,0
77,0
5,0
1,0
1,1
1531,1584
340,0
0,0
2,0
0,0
27,1
0,0
2,0
0,0
0,2
0,0
0,0
846,0
0,0
1,0
2,0
20,1
5,0
2,1
22,0
1,0
7,0
3,1
2,32
0,0
0,2
0,0
3,0
0,0
10,0
3,63
0,0
0,0
152,0
0,0
1,0
1,0
1,0
1,0
0,0
53,0
0,0
0,63
1,85
715,0
158,0
6,0
6,0
6,0
0,0
63,0
1,0
1,36
1,0
24,0
1,0
19,0
38,0
12,1
0,425
1,0
176,0
1,0
2,0
1,0
1,3
2,0
58,0
0,0
33,0
0,0
3,0
35,0
9,57
6,0
0,0
0,0
5,0
1,0
0,0
0,0
1,0
0,9
0,0
0,0
1,0
0,0
0,1
0,2
1,0
0,0
0,0
8,0
132,20
0,1
18,11
2,0
21,0
119,7
81,1
0,1
8,1
4,0
1,1
0,1
7,2
0,0
33,0
1,0
3,0
