V25,V24,V37,V30,V9,V50,V44
0,1,0,0,1,2,0
0,0,0,1,0,15,34
1,0,0,1,0,112,1
0,1,1,0,2,0,10
0,1,0,0,0,2,0
0,1,1,0,1,1,7
2,0,0,1,0,57,1
1,1,1,0,1,2,14
3,0,1,0,1,15,44
0,0,1,0,2,4,5
0,0,0,0,0,416,431
0,1,0,2,0,4,0
0,0,0,1,0,1,0
0,0,0,0,0,0,25
0,1,0,0,1,6,1
0,0,1,0,0,31,309
0,1,0,0,0,9,0
1,0,0,1,1,0,10
1,2,2,1,0,7,10
1,2,0,0,0,0,8
0,1,1,0,0,3,0
0,0,1,0,0,1,1
0,1,0,1,0,1,1
0,2,2,1,0,10,1
0,0,0,0,1,10,21
1,0,1,1,0,0,2
0,0,0,0,0,0,1
0,1,0,0,0,1,94
3,1,1,0,0,1127,451
0,0,0,2,1,19,1
1,2,0,0,2,4,75
1,0,1,0,0,130,39
0,0,0,0,0,0,5
2,1,0,1,1,78,11
0,0,0,0,0,2,1
0,0,1,1,1,3,187
0,1,0,0,0,3,9
1,1,1,0,0,8,2
1,1,0,0,0,13,6
9,8,4,6,12,1273,494
2,2,2,1,2,6,244
0,2,0,1,0,3,147
1,0,0,0,1,0,0
0,1,0,0,1,0,12
0,0,1,0,0,0,0
0,0,1,0,0,52,7
0,1,0,0,2,0,112
0,0,1,1,0,0,0
0,0,0,1,3,138,0
1,2,3,1,2,4,17
0,1,2,3,0,2,2
0,0,0,0,0,1,3
0,0,0,0,0,189,4
0,1,0,0,0,0,0
2,2,3,0,2,94,84
3,1,1,0,1,0,390
0,0,1,0,0,145,10
1,2,8,3,7,9,6
1,1,0,1,0,110,3
0,0,1,0,1,3,4
0,0,0,0,0,1,316
1,0,2,3,0,3,2
0,0,0,0,0,0,272
1,1,0,1,1,13,329
0,0,1,1,0,1,0
1,0,0,1,0,4,2
0,0,0,0,0,1063,2819
0,2,0,0,0,4,0
0,0,0,0,0,1,15
6,6,7,5,5,86,98
1,2,1,1,0,194,2
0,0,1,0,0,0,30
0,2,0,0,1,119,2
0,0,0,0,0,9,3
2,1,1,0,1,1,54
0,0,0,0,1,131,5
0,0,0,0,0,6,9
0,1,0,0,0,0,61
0,0,0,0,0,2,0
0,0,0,1,0,0,22
