V15,V98
0,9
0,0
1,0
0,0
1,0
0,0
0,20
0,1
1,29
0,0
160,0
0,72
0,56
0,0
0,0
0,23
0,0
0,145
0,0
0,5
0,1
0,0
0,0
0,0
9,0
0,0
0,4
0,2
0,0
0,471
1,15
31,2
1,3
29,539
0,3
0,1
1,93
0,0
0,5
0,32
1,1
0,177
0,2
1,26
0,13
0,212
0,1
1,1
0,0
1,4
1,0
0,4
1,0
0,2
0,0
0,0
0,2
0,68
0,0
0,0
1045,1059
0,0
0,0
0,0
0,55
0,0
0,5
0,0
0,5
0,0
0,1
0,4
1,139
0,0
0,1
0,7
0,34
0,13
0,0
0,2
0,0
1,7
0,0
1,2
5,79
0,0
1,0
0,9
0,1
0,2
0,1
0,0
0,0
0,2
0,0
1,1
0,1
7,0
0,11
0,1
0,73
1,13
1,5
0,0
0,1
1,7
0,0
0,0
0,1058
0,7
0,0
0,1
0,0
1,158
193,551
0,0
0,38
0,4
0,3
0,5
