V11,V15
10,0
0,0
1,1
1,1
0,0
0,0
2,0
1699,622
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
207,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
24,0
840,0
0,0
0,0
0,0
0,0
82,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
593,0
2,0
1,0
1,0
1,0
0,0
2,2
0,0
0,2
0,0
2,0
0,1
0,8
0,0
0,0
0,0
0,0
0,0
170,0
0,0
0,0
5,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
0,1
0,0
2,1
17,0
0,1
0,0
0,59
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
0,0
0,0
0,0
135,0
158,0
1,0
0,0
0,0
0,0
0,0
838,0
1,0
0,0
45,0
1,0
0,0
20,0
0,0
0,0
0,0
0,0
10,0
21,0
0,0
0,0
0,75
0,0
0,0
0,0
1,1
0,0
