V15,V62
0,155
0,0
0,0
0,1
0,32
0,2
1,1
118,0
0,337
1,0
0,2
0,0
1,0
5,3
2,5
0,0
0,0
1,0
645,74
228,6
0,0
31,1
1,0
0,1372
0,24
0,1
1,0
0,2
0,0
1,1
1,2
0,0
1,0
0,1
1,1
0,1
366,0
0,70
0,5
0,9
85,0
39,0
1,1
0,0
5,0
0,2
0,0
297,1
1,1
0,3
0,1
1,0
0,8
0,0
0,0
0,0
1,2
0,1
0,1
0,0
139,1
0,1
0,0
0,1
1,2
0,0
0,0
0,134
0,3
0,2
0,6
0,1
0,0
0,497
0,0
0,1
4,2
1,1
1,4
167,1
0,22
0,2
0,191
0,1
0,1
1,0
1,34
694,649
0,0
0,53
1,8
0,0
0,0
0,4
0,7
0,0
0,16
0,120
0,56
0,0
0,1
0,3
0,2
1733,1684
0,2
0,8
29,0
0,0
0,0
0,82
477,0
0,10
0,0
0,0
54,1
0,0
1,1
1,0
0,1
1,2
