V38,V52
4,2
12,0
0,2
15,31
0,0
1,1
7,5
0,84
0,1
8,2
1604,589
12,2
6,5
0,2
488,0
0,1
3,0
0,0
5,1
3,33
0,13
0,49
13,0
68,0
0,0
0,1
2,8
0,50
1,0
356,2
10,2
1,156
0,4
16,5
8,2
5,0
0,3
0,11
2,0
6,15
17,0
0,2
1,5
2,2
64,4
0,17
0,7
0,1
0,21
5,2
0,2
0,272
0,0
13,1
3,84
0,3
1,0
47,1
25,6
0,366
15,0
7,3
3,13
3,0
3,5
0,2
125,2
0,0
0,0
2,2
0,177
54,1
1,1
1,15
0,0
0,17
2,1
92,2
0,2
0,405
5,0
0,0
0,0
3,11
0,3
12,1
22,2
273,1
3,59
1,0
2,8
0,3
1,1
0,0
0,0
4,9
0,13
1,0
8,36
0,0
0,23
0,6
0,0
2,2
0,132
1,0
2,13
2,0
0,0
19,2
4,3
123,337
421,2
0,3
446,2
0,0
1,0
1,24
2,0
10,0
