V55,V4
3,3
2,2
1,13
119,6
2,118
0,0
2,10
16,4
0,12
1,1
1,1
1,6
1,42
339,0
1,437
0,2
0,36
215,0
0,59
0,101
13,2
18,0
14,3
0,1271
0,1
0,4
1,0
5,1
4,3
2,1
0,0
0,2
24,229
1,115
0,48
86,5
0,0
12,0
4,427
56,1
0,1
2,0
14,39
0,0
24,2
30,0
3,1
19,2
0,1
0,0
0,0
1,0
0,0
0,2
31,5
14,1
0,5
9,1
0,941
18,33
6,4
10,0
4,5
0,3
33,0
0,0
1,0
0,2
1,26
2,0
16,1
0,2
3,0
0,2
3,22
1,0
0,2
53,0
0,0
0,86
1,0
0,0
26,1
0,80
2,0
0,2
3,1
0,181
7,0
1,0
1363,1420
0,0
1,40
468,4
205,4
2,0
0,2
7,0
57,22
0,0
1,0
1821,1904
1,3
24,3
379,5
2,58
7,0
76,13
1,7
2,168
172,0
1,4
512,13
3,4
1,2
2,2
0,0
113,15
0,2
61,1
