"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
5,1,15,1,3,3515,31,1277,2,150
1733,656,91,245,247,1743,27,95,73,90
1,5,3,3,4,3,3636,0,2,1343
45,894,302,44,300,875,2252,106,56,126
2395,21,9,1,6,2508,50,1,4,5
146,22,2843,18,54,383,42,394,17,1081
4657,18,9,34,102,31,12,33,14,90
33,5,83,25,241,2,1,2,4599,9
5,13,4813,31,12,16,1,12,1,96
1,2323,7,1,1,2332,2,333,0,0
0,1,4134,7,9,566,202,0,0,81
13,5,20,0,2350,2357,1,123,131,0
19,12,279,6,7,2344,2281,11,31,10
486,24,22,1313,184,1310,170,22,1299,170
87,4492,187,1,213,2,1,5,5,7
38,33,39,32,111,100,2148,277,116,2106
1124,53,155,58,149,57,160,3116,68,60
26,171,159,482,166,3512,164,53,181,86
55,29,1460,225,526,31,69,537,1507,561
166,1177,57,3263,63,159,11,24,63,17
3,1178,178,24,173,6,4,4,28,3402
52,57,163,165,60,23,1191,49,146,3094
27,95,29,4,38,3,6,9,5,4784
15,551,6,11,211,3,26,8,78,4091
0,4809,3,31,15,1,94,38,6,3
3,4,3588,51,9,23,3,1312,5,2
1,401,16,5,388,59,1097,0,3012,21
2216,43,2183,89,32,10,275,8,39,105
787,2157,798,15,33,272,16,10,103,809
21,3999,71,28,66,528,27,13,62,185
