V35,V32,V24,V25,V9,V37,V30,V23,V6,V4,V8
0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,1,2,1,1,0
1,0,0,0,0,1,0,0,0,170,65
0,0,0,0,0,0,0,1,1,1,2
0,1,1,0,0,0,1,0,0,1,0
2,0,0,0,1,0,0,1,2,0,13
0,3,4,12,2,2,4,3,3,1,0
0,1,0,2,0,2,0,2,2,0,1
0,0,1,0,0,1,1,0,0,2,3
0,1,1,0,0,0,0,0,0,1,62
1,38,0,0,1,2,2,101,35,104,2038
46,50,55,37,30,40,29,30,33,36,28
1,0,1,2,0,0,1,0,0,461,8
2,1,0,0,1,0,1,2,1,0,3
0,0,0,0,1,1,0,0,0,0,1
1,1,0,1,1,1,0,0,1,0,0
0,0,0,2,1,2,3,3,1,0,0
0,1,0,0,0,0,1,0,0,1,1
1,0,0,0,1,0,0,0,0,0,8
1,0,0,1,2,1,0,80,0,0,1
2,0,0,0,1,0,0,138,141,1,0
2,1,4,3,2,6,0,5,2,5,1
0,0,0,1,0,1,0,0,0,122,0
0,0,0,0,1,2,0,0,0,1,0
3,1,2,4,2,3,7,7,3,3,4
7,1,3,1,3,2,1,6,2,17,3
2,1,1,0,1,0,1,0,2,90,3
0,0,1,0,0,0,0,69,1,418,0
0,0,0,0,0,0,0,0,0,0,17
0,2,0,0,0,0,0,52,0,0,0
14,26,17,16,21,22,22,22,28,14,23
4,6,4,3,4,4,4,2,6,2,6
0,0,0,1,0,0,2,0,0,1,1
3,20,1,0,1,0,2,1,0,5,5
0,1,2,1,0,0,1,21,0,0,8
5,7,5,3,4,2,5,7,1,5,6
0,2,1,0,0,1,1,5,0,2,2
0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,1,2,0,0,0,2,3
4,5,7,4,2,1,4,6,1,4,2
1,1,3,0,1,2,0,3,0,2,1
0,4,0,0,1,0,0,7,0,0,1
8,16,0,0,0,1,0,144,1,1,1
2,2,4,2,4,1,1,3,4,0,2
1,2,2,1,3,2,1,1,0,2,2
0,0,1,0,0,0,0,0,0,4,4
1,0,0,1,0,0,0,1,1,2,0
1,1,0,0,0,0,0,0,1,1,0
2,3,2,3,3,0,1,2,0,4,7
0,3,0,1,0,1,1,0,1,3,6
3,3,2,1,3,5,2,5,4,7,5
0,0,0,0,3,1,0,2,1,534,0
2,2,2,4,4,0,2,4,1,3,0
5,6,4,4,6,1,1,3,4,7,4
0,1,0,0,0,2,1,1,0,0,1
0,1,0,0,2,0,0,1,2,1,0
2,0,1,0,2,0,0,0,2,0,0
1,1,1,1,3,1,0,0,0,20,3
0,1,0,0,0,1,1,143,0,1,10
46,1,0,0,0,0,0,359,53,1089,18
0,0,2,3,1,1,0,2,2,1,0
0,1,0,1,0,2,1,0,2,1,2
0,0,1,0,1,0,0,1,3,44,0
2,15,0,0,0,0,0,6,0,282,38
0,0,0,0,1,0,0,1,0,38,1
1,1,0,0,1,0,0,0,1,0,0
5,0,0,0,2,0,1,0,0,6,39
1,2,0,0,1,0,0,0,0,461,0
3,4,3,4,2,1,2,2,1,0,1
4,0,0,0,0,2,2,2,2,0,3
2,1,0,1,0,0,1,0,1,0,2
4,0,2,2,2,4,4,1,4,7,1
0,7,0,0,1,0,0,0,1,0,116
3,4,2,2,6,4,4,3,3,12,2
1,1,0,2,2,0,1,1,0,0,1
1,2,0,0,0,0,0,0,1,1,2
1,1,2,2,2,1,0,3,1,3,1
0,2,0,0,2,1,2,4,2,45,0
5,6,6,2,5,10,10,72,5,9,443
3,2,6,3,3,3,5,3,3,5,1
