"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
2,0,6,2380,945,1,1,339,0,0,1,0,1,1,0,0,24,20,0,0,18,0,1,37,2,6,0,294,0,921
15,8,1,7,46,3,54,5,1,2,2,16,61,2,0,2,2,138,6,1,2,22,0,1143,2,410,25,0,1,3023
3,15,15,1041,35,1,25,15,2,5,57,8,7,1013,0,1062,41,148,391,5,4,6,1037,1,16,1,39,3,1,3
0,1,1,1,1,0,11,1,1,3,1,5,216,66,1,0,0,4,1,0,4556,0,27,1,1,4,4,2,0,91
819,15,2,107,3,7,316,5,3,293,302,2,26,331,11,14,39,823,4,6,57,5,2,4,809,39,828,105,8,15
284,13,2078,3,2136,0,33,0,0,9,36,2,0,2,299,2,4,1,0,42,1,43,0,2,0,0,9,0,0,1
79,5,1484,1503,5,4,228,8,6,2,3,9,35,226,7,10,1,5,1,3,7,3,6,4,13,562,565,19,2,195
18,0,3,4,25,2,34,4222,3,1,1,0,2,0,1,0,587,63,0,15,5,3,1,2,1,7,0,0,0,0
232,5,2,12,0,1,12,7,1,2,0,0,213,2,88,30,1,2,209,7,35,2,9,1631,219,624,4,9,1,1640
0,3,1,1,1,0,12,4,1,0,1,5,1,25,13,4286,7,4,2,5,2,1,4,2,0,1,585,33,0,0
5,34,4,39,8,3,218,3,8,5,664,31,16,64,31,5,14,89,1724,1725,9,31,15,34,83,3,39,91,4,1
474,1301,1,8,4,0,15,1,2,24,3,480,3,1234,27,31,2,65,2,11,3,1,483,453,21,168,2,179,1,1
1275,2,0,72,1,2,2,0,0,0,1,5,1,0,0,0,3383,1,0,63,3,0,2,16,10,1,6,154,0,0
0,0,0,1,1,0,40,40,0,2,0,2,1,36,0,2192,3,38,0,309,12,1,1,2261,43,4,0,12,1,0
0,0,2,2,293,0,768,0,0,37,0,51,51,42,3,0,0,0,2,0,758,0,1,2,3,1,0,2202,1,781
0,2,0,1829,1825,0,0,1,2,0,297,4,246,32,2,1,0,670,0,4,15,2,26,3,1,29,2,5,1,1
0,2,0,0,1,0,2,0,0,2,1,397,2,7,1,3,0,2954,0,1054,5,1,1,2,7,16,159,379,2,2
6,14,3,52,1,0,50,2831,1,5,6,48,23,5,1077,17,144,14,5,402,22,4,143,2,2,58,8,8,3,46
1,2,39,0,1,0,13,0,0,1877,1,12,2,2,0,17,0,93,1843,711,4,0,101,0,278,1,1,0,0,1
0,1,0,2,0,0,1,0,0,0,128,2,2,4,7,1,1,2256,12,110,0,46,2282,2,0,0,2,30,0,111
24,22,0,2,9,0,19,0,1,0,134,56,0,49,1,1,0,1,372,2846,4,376,2,2,1055,2,19,2,1,0
53,69,9,4,182,0,3800,66,0,1,2,0,25,27,3,23,189,169,0,1,4,36,68,188,2,7,2,1,0,69
0,1,2743,122,2,3,19,2,7,16,2,11,6,10,4,10,411,53,7,375,1008,6,4,2,147,2,3,17,3,4
0,17,292,109,40,0,4,772,2,281,1,5,3,12,4,2124,87,36,767,37,3,12,279,4,3,6,92,5,1,2
2,5,39,5,6,5,28,634,2,16,3,13,1,89,4,86,4,1657,11,0,1702,6,0,0,638,28,1,2,5,8
8,1,15,14,2499,1,914,0,2,7,110,107,1,5,3,4,115,907,2,120,24,1,0,36,2,14,40,1,1,46
1,0,15,35,10,4,257,4,4,6,48,45,4,3,94,13,2,1956,5,6,13,2,2003,2,33,34,284,103,1,13
