"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,4722,0,36,242,0,0
0,0,2513,0,0,0,2484,0,3,0
0,0,0,0,0,0,0,5000,0,0
7,0,40,0,0,0,4953,0,0,0
4727,248,0,0,3,3,0,12,1,6
0,0,0,4993,2,0,1,0,4,0
0,0,4896,101,0,0,0,0,3,0
0,0,206,553,1,4240,0,0,0,0
0,5000,0,0,0,0,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
0,4992,1,0,0,0,5,0,0,2
0,0,0,4998,0,1,0,1,0,0
569,215,4148,6,16,2,11,14,13,6
518,11,4,526,2,3,9,2,3,3922
0,3,3636,1354,6,0,0,0,0,1
0,0,23,0,0,4763,0,0,0,214
39,0,104,11,34,36,6,1,4767,2
0,0,0,0,0,5000,0,0,0,0
0,0,0,4763,0,0,0,0,237,0
0,0,0,0,0,0,0,5000,0,0
0,0,12,2,4387,0,0,599,0,0
2,8,27,3561,1359,11,5,10,16,1
0,54,1,0,0,1243,3245,0,0,457
2297,53,107,873,138,869,32,297,284,50
0,9,4991,0,0,0,0,0,0,0
1,13,1,3,1,1,0,2338,2337,305
0,0,0,3,5,0,1,92,4899,0
0,0,0,0,0,2,0,3684,1314,0
0,0,0,0,0,5000,0,0,0,0
3628,0,0,2,0,0,0,1351,19,0
