V9,V24,V30,V37,V25,V38
1,2,0,1,1,11
1,4,0,3,3,1
0,0,2,0,0,4
1,3,0,4,4,1
0,1,0,4,1,3
1,1,1,1,0,232
1,2,1,0,0,38
0,0,0,0,1,5
0,0,0,0,0,1
0,2,3,1,1,5
2,2,0,0,2,1
0,0,0,0,1,11
3,1,1,6,7,501
0,1,0,0,0,2
2,6,0,6,2,177
0,0,0,1,2,0
0,0,0,1,0,1
0,2,1,1,0,0
0,0,1,0,0,3
0,0,0,1,3,2
2,0,0,0,0,1
2,3,2,2,1,1
0,0,0,1,1,1
0,0,0,1,0,57
0,2,1,2,4,3
0,0,1,1,0,1
0,0,0,0,1,0
1,1,0,0,0,0
2,2,1,0,1,1133
1,1,0,0,0,1
2,0,2,0,1,206
0,1,1,0,0,1
1,1,1,1,1,4
0,1,0,3,2,1
0,3,2,1,3,0
1,1,0,0,0,982
0,0,1,1,0,3
0,0,3,0,1,117
0,2,0,2,1,0
0,0,0,0,1,0
0,0,1,1,0,4
0,1,2,1,3,3
5,9,5,7,4,6
0,0,1,1,1,3
4,1,1,1,1,9
2,0,1,0,0,0
2,0,1,1,1,32
0,0,0,0,1,0
0,0,1,0,0,3
0,2,0,1,0,1
0,1,0,0,0,2
0,2,0,0,1,25
0,0,0,0,0,1240
3,8,3,1,2,2
1,0,0,0,1,11
0,1,1,1,1,2
1,0,0,3,2,5
0,0,0,0,1,10
2,4,6,5,6,16
1,0,0,0,0,1
0,0,1,0,0,2
0,0,1,0,0,0
4,8,6,11,6,3
4,5,2,4,4,7
2,0,1,1,0,0
0,0,1,0,1,6
0,2,2,1,0,3
0,1,1,0,2,0
1,0,1,0,0,0
3,0,1,2,1,1313
0,1,0,0,0,26
0,0,0,0,0,0
8,16,14,16,11,7
1,0,1,2,1,2
1,0,1,0,2,0
1,0,0,1,1,26
0,0,3,2,0,4
1,3,0,0,0,1
21,10,11,14,17,2010
0,0,2,0,0,3
