V25,V37,V9,V28
0,0,0,10
0,0,0,9
0,2,1,2
0,0,0,1602
0,0,0,9
0,1,1,1
0,2,3,23
0,1,1,18
0,0,1,31
1,0,1,3
1,1,0,5
3,0,0,51
0,0,0,0
0,0,1,1
0,0,0,4
2,0,1,3
1,0,0,202
1,0,0,0
0,1,1,0
0,0,0,0
0,0,0,2
1,0,1,44
0,0,0,0
1,0,0,16
0,1,0,0
0,0,0,6
0,1,0,2
2,0,0,135
0,0,0,12
1,0,0,1
0,1,1,5
0,1,0,40
1,1,1,32
0,0,1,0
0,0,0,1
2,3,4,1939
1,3,1,909
0,0,0,2
0,0,0,1
0,0,1,9
1,0,0,0
1,0,1,1
0,0,0,0
0,0,0,159
0,1,0,1
0,1,0,2
0,0,1,0
0,0,0,0
0,0,1,28
0,0,0,2
1,0,1,21
1,0,0,2
0,0,0,2
0,0,0,2
0,1,0,1
0,0,0,1
1,1,0,1
1,0,0,882
0,0,0,76
0,0,0,0
0,0,0,38
1,1,0,0
0,1,0,1
0,0,0,0
0,1,0,0
0,0,0,1
1,1,1,1
1,0,0,1
8,5,3,1675
1,0,0,90
0,1,0,123
0,0,0,0
1,0,1,7
0,0,0,1
0,1,1,31
0,0,2,15
0,0,0,6
1,0,1,1844
0,0,0,0
0,0,0,0
