"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
0,72,4141,2,0,0,1,3,0,11,27,3,1,71,0,0,6,22,0,63,1,1,7,2,0,0,565,1,0,0
116,1,4,113,6,4,2,2209,4,34,4,4,5,19,2,7,39,35,12,5,0,2,2,10,95,2,2252,3,3,6
0,1558,71,26,9,0,0,4,1,2,208,62,31,2,3,2,537,1573,29,0,580,0,1,9,35,222,1,1,1,32
1,1,1964,32,0,1,0,2,0,18,1914,0,1,1,0,6,16,2,1,694,3,236,0,3,0,2,2,98,0,2
0,5,0,1263,0,0,4,1,1,8,67,487,1292,6,0,2,0,1,1341,0,1,0,4,478,7,0,1,29,0,2
0,1,270,6,1,0,36,0,0,0,0,1,0,12,0,0,2,2101,295,0,1,1,0,1,102,0,2168,1,0,1
28,42,346,53,14,22,984,55,18,124,22,963,57,127,146,12,55,19,52,143,12,323,970,141,23,53,148,21,12,15
7,40,842,285,2,0,3,6,0,8,4,8,1,2,5,0,4,115,302,23,20,3,818,1,2,281,2199,18,1,0
0,241,14,0,1786,0,233,263,0,278,34,4,1,0,14,1725,1,1,7,0,1,0,1,3,75,13,0,266,0,39
0,2,3986,12,0,0,3,58,5,7,4,4,200,3,12,3,216,230,62,5,3,2,19,66,14,5,72,5,0,2
3,2,336,13,316,3,3,4,4,19,97,4,22,891,4,14,48,3,312,343,4,112,18,2403,7,2,9,1,3,0
1,105,4,109,791,1,0,12,1,16,829,17,806,10,8,4,11,4,34,2165,5,3,32,7,7,12,4,0,0,2
708,15,0,1,0,0,0,0,0,0,13,0,2,1,1,734,5,668,0,7,0,0,0,0,97,704,1945,5,0,94
1,0,3,0,5,0,0,9,0,1,90,0,0,0,1,1645,1,0,0,0,0,1623,3,12,3,0,0,1603,0,0
0,2,21,2,4,0,14,0,0,16,4,15,24,1,0,0,3,3210,3,1,23,52,20,1195,6,378,0,6,0,0
1,0,3712,9,0,0,1,3,0,10,1,549,0,1,2,33,4,486,11,0,84,0,24,1,1,59,2,4,0,2
21,4,400,1,0,1,4,0,0,0,2,2,0,0,20,376,1,161,8,1,0,1,0,1,0,2891,1078,25,1,1
107,1,20,45,0,0,0,2,0,14,2337,11,0,39,6,1,7,6,45,6,3,3,2313,0,9,2,22,1,0,0
2,22,62,11,178,2,28,3,2,23,1,5,4,9,10,0,15,0,24,3795,0,0,76,61,495,2,1,167,2,0
20,0,171,22,1,1,10,4,0,10,4,2,1232,0,15,0,25,3253,0,147,0,17,0,1,2,56,0,6,0,1
0,16,94,249,1,0,1,710,0,3,0,1,43,1,2,0,0,0,30,1860,0,1853,0,2,8,12,113,0,0,1
0,0,143,3119,0,0,67,1119,1,9,1,12,43,3,25,172,18,0,4,20,4,2,24,12,11,150,6,7,3,25
58,6,5,390,0,1,1,20,0,0,6,0,2,0,2,1,1,151,52,3031,1,18,144,1050,1,3,9,47,0,0
2,71,1363,2,20,1,0,0,1,0,6,3,1,0,4,22,543,2,11,1,1,2,78,3,1326,92,7,1437,0,1
6,2,1,3,0,1,1,1,0,6,1,2,0,14,1,17,415,0,0,177,0,0,1171,0,1,3111,67,2,0,0
6,2,1730,244,5,2,5,2,3,81,80,79,2,27,1,237,0,4,1,2,1673,83,5,583,91,2,39,0,2,9
0,5,25,3,3,1,6,67,0,23,10,5,195,11,4,60,2,1,201,521,2,1,2,0,6,3829,3,11,2,1
8,9,4,8,0,5,2,54,5,55,25,51,3237,10,3,4,18,24,1174,163,7,3,4,5,47,5,65,1,0,4
0,213,1,4,0,3,3,3,1,0,4,27,31,0,90,1,7,27,1,1,4303,32,223,6,0,7,1,1,0,10
2846,1083,8,43,1,0,60,1,0,1,1,2,2,408,12,2,52,1,2,4,50,1,393,1,2,17,2,4,1,0
1,3,317,8,2,3,1,2467,0,4,0,1,1,318,8,2,922,1,920,1,5,0,0,5,0,6,1,1,1,1
589,28,548,11,1,5,16,204,0,3,2,1,26,1,37,4,1,5,1,199,1,222,1374,175,2,27,2,57,2,1456
52,57,15,37,21,4,21,54,0,35,53,4,35,20,1010,138,4,360,4,16,2626,9,1,3,6,53,3,4,1,354
118,0,10,336,329,0,0,2,0,291,333,1,2,10,8,0,0,47,869,10,0,3,1,0,3,18,2504,105,0,0
14,6,0,50,42,0,0,11,2,954,0,1,2513,336,1,3,19,39,2,1,0,965,7,9,13,9,1,0,0,2
2,442,3,8,11,0,3,4,1,184,6,178,401,3,2,2,4,1,3,32,64,154,13,25,3441,3,4,3,2,1
1644,0,0,2,17,0,608,10,0,33,0,7,0,2,0,546,85,15,1,82,1,0,0,1,231,1,81,16,0,1617
0,21,20,454,6,0,0,3555,1,21,11,4,54,20,71,8,1,1,166,23,12,9,2,4,2,6,497,31,0,0
1,0,13,635,0,1,26,10,1,1,9,12,27,1749,0,0,1,32,3,4,3,2,1,9,27,0,3,696,1,1733
6,43,0,1,6,0,0,2296,0,1,1,0,1,0,1,0,16,0,1,0,0,6,2313,0,0,300,6,2,0,0
1,18,3,93,0,4,3741,1,0,84,9,11,8,2,196,21,1,23,0,4,486,0,183,2,7,55,28,4,2,13
5,8,68,6,1,4,6,4,4,25,7,153,3,504,6,6,192,4,1,3476,474,3,3,2,7,6,10,3,4,5
2,9,394,6,1068,1,0,9,4,2888,4,4,25,4,62,0,1,7,22,8,11,10,407,25,4,14,9,0,1,1
352,50,0,144,2,1,1,16,0,1,8,3,6,2646,107,7,0,11,0,132,336,48,4,23,106,939,55,2,0,0
0,555,0,22,29,0,0,4,0,9,1,66,6,2,0,4,571,0,1516,0,25,3,1598,0,0,0,0,1,0,588
145,2916,53,11,159,3,378,22,3,0,17,408,5,2,3,1,26,5,6,1,21,6,0,3,389,7,5,397,5,3
0,8,1,5,10,0,2,4,0,8,59,66,11,26,175,63,70,0,3,3,1358,199,0,9,182,1389,7,0,1,1341
41,2309,1,83,0,1,17,0,2,9,0,8,2118,2,1,1,0,4,1,0,51,7,1,287,0,15,3,1,0,37
27,58,3627,26,4,1,15,26,3,33,6,5,69,1,2,4,0,8,29,182,3,56,1,172,521,3,86,2,0,30
1,9,189,6,5,0,0,496,0,0,0,0,0,5,3,8,65,0,1,13,0,1,3687,0,2,501,4,3,0,1
