V9,V89
320,0
50,0
0,3
3,77
1,1
0,1
6,0
2,1
0,0
356,966
0,8
1,0
1,0
2,14
0,1
0,0
53,0
0,471
0,0
0,1
3,0
0,0
1,0
0,2
0,0
0,0
7,1
601,1772
6,1
3,8
76,29
4,1
2,0
24,0
1,0
0,0
1,0
6,1
6,0
2,0
131,0
0,0
2,0
1,0
0,3
0,0
0,0
6,3
0,0
13,0
0,0
0,0
11,1
12,13
1,0
37,0
48,756
12,5
1,0
57,1
7,0
0,1
30,1
3,1124
0,0
9,4
0,0
2,1
0,137
0,0
3,0
1,0
0,41
0,306
4,0
31,12
2,0
6,1
1,0
2,1
0,1
4,0
6,1
0,0
7,54
0,0
3,0
419,4
4,1
1,0
0,0
12,20
2,0
1,33
0,73
0,0
13,0
75,0
474,0
0,1
0,2
11,2
0,4
2,0
0,0
1,0
0,0
19,2
1,2
1,11
0,0
1,2
7,11
1,0
0,16
12,0
387,1
2,2
0,0
0,2
