"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
3,2058,3,38,5,11,9,16,778,2079
0,0,5000,0,0,0,0,0,0,0
38,8,0,6,0,0,0,4928,3,17
0,0,5000,0,0,0,0,0,0,0
0,0,0,5000,0,0,0,0,0,0
1246,1,6,3295,3,9,4,3,1,432
178,3777,30,0,0,9,494,0,2,510
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,0,0,0,0,0,4997,0,3,0
0,0,244,0,0,0,0,0,0,4756
0,0,0,0,0,0,5000,0,0,0
0,0,3611,1389,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,5000
0,0,0,0,0,4999,0,1,0,0
1,637,1704,221,1,74,2,3,1725,632
0,0,0,0,0,0,5000,0,0,0
1,165,9,51,3061,1106,401,147,48,11
0,4,0,4752,6,3,233,1,1,0
36,130,1012,26,977,362,1051,364,987,55
0,0,0,4994,0,0,0,6,0,0
33,225,33,19,78,24,211,81,84,4212
0,0,0,0,0,0,5000,0,0,0
2,2,587,14,4301,76,0,1,3,14
0,0,0,5000,0,0,0,0,0,0
14,0,10,0,4731,0,0,0,0,245
4,1,1279,3473,5,4,0,1,174,59
0,0,0,0,0,0,0,0,0,5000
84,24,78,194,1360,1342,4,1399,14,501
0,0,0,0,578,0,4316,76,30,0
