V94,V5
0,1
0,0
1354,1389
0,9
4,4
3,0
1,3
19,382
0,0
2,1
13,14
0,3
0,7
0,2
0,22
2,5
3,24
1,11
2,0
118,86
1,23
0,1
8,0
2,0
0,10
10,0
0,2
2,9
1,5
211,7
156,2
0,5
14,0
0,2
364,0
0,0
2,0
0,0
3,3
43,0
2,1
5,50
30,6
3,1
99,15
0,1
0,0
1,0
0,0
1,0
0,1
0,10
0,1
1,1
5,2
4,10
1,0
3,331
0,2
155,0
0,2
0,2
26,5
2,7
0,0
0,0
13,1
4,3
0,4
0,0
36,1
0,0
1,2
14,40
0,0
2,2
15,0
1,0
3,0
4,0
0,203
130,131
27,240
0,22
100,694
0,23
0,11
2,0
0,1
2,1
25,6
223,209
0,0
10,0
11,5
1160,0
97,99
2,0
10,139
0,1
0,0
51,1
2,56
2,0
5,53
0,0
0,1
0,6
123,20
7,7
947,45
2,112
0,3
0,7
9,32
0,0
58,21
19,0
0,39
0,0
