V70,V4
1,1
7,0
2,0
0,0
4,0
1,1
0,6
880,315
3,3
0,0
79,3
4,1
1,6
0,484
0,2
2,11
0,1
0,0
18,39
0,0
1,0
15,0
0,29
0,6
1,47
0,0
87,0
0,0
0,0
1,0
111,1
44,3
1,15
27,64
0,0
3,6
0,0
8,0
1622,1570
285,13
41,0
0,0
0,581
4,0
0,0
15,1
0,1
0,1
223,1
460,5
6,1
54,0
515,69
0,140
0,74
0,46
0,1
1,2
0,1
0,0
5,0
0,1
0,1
2,105
1,1
27,0
1,487
0,5
4,1
0,6
4,0
11,0
23,3
0,16
6,72
5,9
0,0
4,0
0,0
1502,6
0,19
31,1
3,4
38,2
0,99
5,59
2,0
0,0
2,0
0,24
21,17
0,0
0,0
2,1
7,76
2,0
0,1
1,0
66,5
0,19
11,3
114,106
20,3
2,61
0,1
0,121
11,0
1,0
1,166
1,1
1,6
0,0
11,10
39,0
0,253
0,160
0,0
314,0
0,8
0,209
