V32,V40
2,360
0,15
1,1
0,2
1,0
0,11
3,102
10,1
2,2
0,0
0,2
1,5
17,0
0,1
2,0
3,9
0,2
10,2
0,0
0,3
1,0
0,0
1,1
0,0
0,27
0,2
2,5
0,2
0,1
2,2
1,3
3,424
0,5
2,0
68,3
11,37
15,1
32,2
0,12
1,0
1054,1032
1,7
0,0
1,8
35,39
0,0
239,0
0,0
0,4
1,2
5,76
1,0
1,4
2,0
42,0
0,6
2,21
0,2
0,20
46,1
3,0
10,17
114,2
5,11
0,25
50,2
2,6
1,1
0,0
0,11
4,4
0,0
308,5
0,18
1,2
20,1
0,0
0,4
1,3
0,0
3,1
6,8
4,22
0,0
1,682
0,1
3,2
17,1
1,0
63,26
0,305
2,68
2,3
0,2
1,2
3,0
0,15
73,12
0,9
1,6
11,2
0,0
2,0
0,17
0,0
3,0
3,3
1,1
2,0
165,1
4,6
0,0
389,1044
0,0
53,0
6,7
0,0
55,2
0,14
3,0
