V68,V2
5,14
0,1
0,0
6,96
68,39
1,279
0,1
1,0
4,41
5,0
0,1
9,11
1,91
5,0
2,0
2,18
0,1
1,0
1,1
1,338
0,1
40,3
123,0
1,0
63,1
189,28
10,0
0,743
65,0
28,0
0,0
3,151
417,1
1,0
49,53
0,4
6,0
6,0
32,12
3,0
1,2
38,0
0,1
69,4
3,0
823,1
2,11
30,0
299,785
1,0
0,0
1,1
21,0
113,2
39,14
0,1
6,5
1,632
0,58
0,7
1559,1659
0,1
2,0
1,1
17,40
225,1
1,0
3,1
0,1
9,0
0,3
0,0
0,3
202,77
6,1
0,2
1,0
17,0
1,13
0,0
0,1
0,0
1,55
89,1
1,17
1,0
1,7
0,13
11,0
28,135
2,11
11,2
1,17
1,0
3,0
38,1
0,0
2,0
0,136
5,0
1,0
0,0
5,3
1,345
0,1
3,220
28,4
0,1
1,0
2,14
21,15
1,1
886,2
3,2
1,7
1,31
1,7
5,383
1,8
39,2
