V12,V2
0,11
0,1
15,4
6,2
0,416
4,0
2,0
1,0
0,0
0,22
1,69
820,0
314,22
0,0
1,40
294,0
0,0
1,0
2,17
184,1
176,0
0,0
14,25
4,0
188,1
2,106
78,0
54,0
1,0
2,74
1,52
121,4
521,0
1,0
2,0
2,0
2,1
24,2
0,1
0,1
1,2
114,142
0,3
419,68
1435,492
0,1
3,173
1193,445
23,1
0,6
84,4
5,105
0,4
98,17
1,0
0,3
3,5
7,1
1,5
7,1
1,5
1,0
35,0
2,1
2,162
22,63
0,1
934,0
27,1
0,0
11,10
0,1
0,0
1,4
0,0
0,4
40,2
204,517
0,0
0,42
1,52
3,4
18,0
0,0
41,1
1,10
2,5
6,18
2,51
0,0
0,0
0,1
4,0
0,0
0,1
0,2
2,0
0,1
1,0
10,14
0,0
4,0
2,44
2,0
1,0
1,37
0,3
1,0
207,4
0,0
26,0
0,1
0,0
152,0
0,0
1,53
0,105
4,6
3,20
2,2
