V8,V52
1,0
0,0
64,0
64,0
0,0
1,0
0,0
742,264
183,0
0,0
0,0
0,0
0,0
0,5
0,1
1,0
0,3
0,0
240,0
0,0
162,0
1,9
6,0
9,170
0,0
2,0
1,0
0,7
0,0
0,0
24,1
0,0
0,0
0,1
0,0
1,0
0,0
0,0
0,0
101,3
1,0
0,1
0,1
0,0
52,0
1,0
0,3
0,0
0,0
0,1186
19,0
1,0
1,0
0,0
0,0
0,0
0,2
1,186
0,0
10,0
658,0
1,1
0,0
29,2
0,2
0,5
1,2
0,0
7,6
1401,1456
3,2
0,0
858,43
0,0
1,2
0,0
49,0
75,5
0,2
0,0
0,1
0,0
0,0
109,0
0,3
1,0
0,0
0,3
0,0
0,0
2,364
0,0
0,1
0,0
0,0
30,3
0,0
0,16
0,299
0,48
55,20
0,1
0,0
0,1
0,20
2,1
0,5
0,1
2,0
1,0
0,0
0,0
166,0
0,0
0,7
1,7
0,1
0,3
0,0
0,212
