"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
74,547,0,224,7,5,6,4093,11,33
0,3,2,2487,0,1,2504,2,1,0
12,18,9,26,1034,2840,1056,4,1,0
1750,85,1830,111,652,82,237,86,82,85
76,3981,545,67,170,7,28,28,68,30
0,2,0,1,4905,0,7,0,1,84
10,16,222,29,4491,37,88,8,87,12
35,24,4297,576,6,14,33,7,5,3
61,227,197,34,4098,33,29,91,17,213
11,569,67,487,24,3698,91,14,31,8
79,3,7,3,2,6,4286,2,608,4
410,47,155,51,67,2889,1008,154,65,154
4072,66,223,77,77,93,176,66,72,78
1492,91,1526,72,68,87,1453,76,76,59
28,173,3358,6,13,28,1221,7,157,9
0,3,12,2,0,7,1,3,4970,2
1277,24,168,21,3391,24,15,5,5,70
3,0,4,1,4,8,4936,31,7,6
44,1779,647,8,1,4,1822,7,675,13
34,18,49,58,1317,25,3,19,3471,6
32,252,31,6,4613,34,26,2,4,0
10,10,7,2413,4,2554,2,0,0,0
181,21,3107,23,27,21,1152,432,17,19
116,362,912,2470,112,123,332,329,130,114
110,12,124,333,894,43,2518,925,24,17
11,4,0,448,3,1159,3203,0,167,5
20,4671,104,27,12,32,82,9,26,17
2,28,0,1,0,1,3,4,4960,1
869,298,2202,101,105,107,103,801,293,121
961,362,353,114,136,941,927,126,122,958
