V15,V69
0,0
1,1
0,0
0,2
1,0
0,1
0,856
0,2
0,75
0,0
0,1
0,0
1,0
0,1
0,2
0,9
0,2
0,1
0,1
0,20
0,0
0,0
0,0
0,0
0,0
0,0
35,1
0,0
1,6
1,4
0,2
0,0
0,700
0,0
0,2
0,2
1,7
1,3
0,4
0,0
0,0
0,0
0,1
0,0
0,0
0,18
0,24
0,0
1,0
0,0
0,1
1,0
1,1
244,36
0,0
0,0
0,0
2,0
0,156
0,4
1,26
0,1
0,3
0,183
1,0
0,0
1,4
0,0
0,0
0,0
0,130
0,1
0,0
0,1
0,0
0,1
0,16
0,0
0,2
0,0
0,2
0,0
0,0
1,14
0,1
0,0
0,1
0,0
1,0
0,0
1,706
1,1
0,1
0,0
0,130
0,6
0,1
0,12
0,0
0,352
1279,1272
0,0
0,1
0,5
0,0
0,1
0,0
0,14
0,10
0,0
0,0
0,12
0,14
0,2
0,23
0,0
0,1
0,0
18,7
0,0
