V19,V60
0,0
342,0
19,0
170,22
0,1
3,0
24,30
16,0
13,1
0,0
24,2
10,0
1,2
48,0
9,0
1,1
65,0
1,0
0,0
5,1
667,0
0,0
1,2
0,0
2,1
1,0
1,1
58,0
1,0
1,5
113,131
12,19
7,0
1,3
18,3
0,1
2,9
29,1
0,0
488,0
1,299
61,98
0,5
5,1
0,3
2,0
1,9
1,0
1,1
20,1
0,257
3,0
1,0
3,5
1,0
1,0
1,1
174,2
41,6
2,0
5,8
0,0
28,0
72,0
27,0
4,0
49,3
0,18
3,8
0,0
47,2
0,1
1,0
2,2
128,4
12,0
0,11
9,2
1,2
3,4
1106,446
55,0
3,0
18,0
3,0
0,0
0,11
1,0
16,0
0,2
0,3
2,2
7,722
8,0
1249,182
31,0
0,0
0,0
7,0
1,0
104,5
0,2
0,2
647,0
0,0
80,0
0,0
0,0
6,4
1,1
15,0
1075,1100
0,2
0,0
0,8
2,1
118,1
103,2
0,41
19,1
