V10,V99
6,0
0,3
2064,802
1,427
3,5
20,47
42,2
137,1
0,1
1,5
3,2
20,2
96,4
12,4
1,2
0,267
1,2
180,4
59,1
1,0
226,1
2,1
0,13
0,0
3,1
22,0
3,0
0,0
2,0
9,2
2,3
0,1
244,27
0,5
189,0
291,1
591,2
2,6
21,2
0,0
121,0
1,4
0,0
1,11
8,8
97,36
3,0
812,106
21,156
1,2
0,0
1,36
37,1
1,8
2,40
89,0
117,0
18,9
7,0
78,0
2,2
308,2
2,1
0,0
399,8
1,391
35,0
5,3
11,1
10,3
8,53
4,15
7,188
1,1
271,0
0,3
0,0
20,60
102,2
14,6
450,1
0,1
1,18
5,0
0,17
430,2
13,0
1,0
2,146
2,59
61,2
4,39
31,200
3,0
3,11
191,0
247,0
25,67
0,6
2,16
6,13
332,0
2,57
5,8
8,9
0,0
9,0
0,5
2,0
0,21
6,2
4,21
0,0
1,3
0,0
4,0
13,0
0,5
1092,0
0,0
