V26,V28
0,2
36,3
22,32
0,1
49,0
0,10
0,6
366,304
0,18
4,48
1,0
0,0
456,3
0,10
0,22
0,2
7,0
20,1
54,66
0,34
495,0
202,0
1081,0
0,0
61,1
1,1
1,4
5,1
0,0
14,0
1,3
37,0
27,0
2,1
3,502
1,8
254,13
31,0
2,1
3,3
11,9
0,0
0,46
0,24
112,94
1,4
0,1
0,0
5,21
175,9
0,1
177,1
1,1
1263,1238
5,0
5,1
0,0
0,4
9,0
188,1
0,2
0,1
2,3
198,1
0,156
6,246
0,0
8,1
22,7
519,0
54,0
84,1
0,0
13,2
53,3
6,0
1,5
1,5
3,7
1,0
4,1
2,102
178,0
840,98
0,373
0,3
0,1
0,1
8,1
0,0
0,1
0,3
158,7
259,1
68,5
1,2
5,2
1,0
0,156
134,43
2,19
4,232
0,0
0,10
0,1
2,1
0,11
0,3
0,0
42,5
95,1
31,2
90,0
0,0
2,0
0,5
1,0
0,1
0,4
1,29
