V37,V13,V24,V30,V25,V9,V20
0,1,0,1,0,0,0
0,0,0,1,0,0,0
1,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,0,1,0
1,0,0,1,0,1,0
0,0,2,1,0,1,2
1,0,2,1,0,3,0
0,1,0,1,2,1,0
0,0,0,0,0,0,0
0,1,0,1,0,0,0
0,0,0,1,0,1,1
1,0,0,0,0,0,0
2,0,0,0,0,2,1
0,0,1,0,1,2,0
1,0,0,0,0,0,0
0,0,0,1,3,1,1
3,1,0,1,0,0,1
0,0,0,0,0,0,1
2,0,0,0,1,0,1
0,0,0,0,0,0,0
0,0,0,1,1,0,1
1,0,1,1,0,0,1
0,0,0,0,0,0,0
0,0,0,1,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,1,1
0,3,1,0,0,0,1
1,0,0,1,0,0,1
1,1,0,3,0,2,1
2,1,1,0,1,2,1
1,1,1,0,0,0,1
0,0,0,1,0,0,1
1,1,1,0,1,0,0
0,0,1,1,2,0,0
0,0,0,0,0,0,0
2,1,0,2,1,3,7
0,0,0,0,0,1,0
0,0,0,1,2,0,0
1,1,1,1,0,0,0
0,2,0,1,1,0,0
0,0,0,0,1,0,0
1,0,0,0,1,1,0
0,0,0,0,0,0,0
16,6,10,11,10,14,15
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,0,0,0,1,0,1
1,0,0,1,0,0,0
1,0,2,0,2,1,2
0,0,2,0,1,1,2
0,2,0,0,0,1,1
0,0,0,1,0,0,0
0,0,0,1,1,1,1
1,2,4,0,0,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,1,1,1
0,0,0,0,1,0,0
0,0,0,0,0,1,1
0,0,0,1,0,0,2
0,0,0,1,0,1,0
0,1,1,0,0,1,0
2,0,0,0,1,0,1
0,1,0,0,0,0,0
0,0,0,1,0,1,1
2,0,0,1,0,0,2
1,0,1,0,0,0,0
3,0,0,1,1,1,0
2,2,2,1,1,0,1
0,0,0,0,0,1,0
3,1,0,0,0,0,1
0,0,1,1,0,1,0
0,0,1,1,0,0,0
0,0,0,0,0,1,1
0,0,0,2,0,0,0
0,1,0,1,0,0,0
0,1,0,0,1,0,0
1,0,0,0,2,0,0
