V9,V73
13,0
82,0
5,0
2,144
259,0
0,0
554,5
1,0
0,1
0,1
1,9
1,0
0,0
36,0
2,0
29,0
1,1
34,46
0,1
1156,1145
7,4
0,0
95,1
93,0
1,5
0,1
0,521
15,0
1,0
1,5
14,0
68,0
0,3
60,162
0,865
55,0
7,9
0,2
5,7
0,191
72,0
0,102
2,0
5,19
0,0
0,2
3,182
1,1
4,0
0,0
1,1
1,0
4,0
2,2
2,1
2,3
3,1
0,9
1,0
0,0
40,0
2,0
54,0
1,263
6,0
6,2
3,0
0,4
3,15
31,0
14,1
9,0
6,0
18,0
16,1
2,14
1,19
2,0
0,1
0,0
9,1
0,0
47,1
21,7
74,1
177,0
7,0
35,1
5,7
1,1
116,0
4,105
2,0
5,2
0,0
0,0
2,0
8,2
1,1
35,3
0,128
6,0
8,0
0,0
47,0
153,0
5,2
2,0
0,0
73,0
1,1
1,0
1,1
0,3
2,2
0,6
1,0
1,0
0,0
45,0
