V20,V30,V37,V9,V24,V25
0,0,0,0,2,0
22,32,23,28,28,28
0,0,1,0,0,0
0,1,1,1,0,0
5,3,6,6,3,3
0,1,0,0,0,1
0,1,0,0,0,0
0,1,2,2,1,0
1,1,1,0,1,0
0,0,0,0,0,1
1,1,1,0,1,1
0,0,1,0,0,0
2,1,1,3,3,2
1,0,0,1,0,0
0,1,0,1,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,1,0,1,0,3
1,0,1,2,1,1
0,1,2,0,1,0
1,2,1,1,1,0
0,0,0,0,0,0
0,0,0,1,0,1
0,0,2,0,0,1
1,0,0,2,0,2
0,0,0,0,0,1
0,0,2,1,0,0
0,1,0,0,0,0
2,3,0,1,4,0
1,0,0,0,0,0
1522,27,36,23,26,29
0,0,0,0,1,0
0,0,0,0,0,1
0,1,0,0,1,3
0,1,0,0,0,0
3,4,1,1,1,1
0,0,0,0,0,1
0,0,1,0,0,0
0,1,0,0,0,1
0,0,0,0,0,0
0,1,1,1,0,0
0,1,1,0,2,0
0,2,1,0,1,1
7,5,8,3,5,2
0,0,1,0,0,0
0,0,1,0,0,0
5,3,0,2,2,6
1,4,1,1,0,3
0,0,1,0,0,1
0,0,1,1,0,2
0,2,2,0,0,0
2,0,2,0,0,1
2,0,0,1,0,0
0,1,0,0,1,0
0,0,0,1,4,1
0,0,0,2,0,0
0,0,0,1,0,0
2,1,0,2,1,1
1,2,0,2,6,5
1,1,0,0,0,0
2,1,1,3,1,2
0,1,0,0,1,0
0,0,0,0,0,0
1,1,0,1,1,0
0,0,0,0,0,0
0,0,1,0,0,0
1,2,1,3,1,0
2,0,0,0,0,1
1,2,0,1,0,1
0,0,0,1,0,0
0,1,1,0,0,0
1,2,0,0,1,0
1,0,0,0,0,0
0,1,0,4,1,0
0,1,0,0,0,0
1,0,1,3,4,0
1,0,1,1,1,0
0,0,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
