V24,V37,V25,V9,V30
4,0,0,0,0
0,1,0,2,0
0,0,0,0,0
0,0,0,0,1
1,4,1,0,1
0,0,0,0,0
0,2,1,0,0
0,0,0,0,1
1,1,0,0,0
1,3,2,1,4
0,1,1,0,3
1,1,0,3,2
0,0,1,0,1
1,0,1,0,0
0,3,1,2,0
7,8,10,12,7
0,0,0,0,1
0,0,0,0,1
2,1,0,1,2
0,0,0,0,0
1,2,0,0,0
0,0,0,0,1
1,0,0,1,0
0,1,0,0,0
1,1,2,2,3
0,0,0,1,0
0,0,0,0,1
2,2,3,2,1
1,0,0,0,0
0,0,1,0,1
0,0,0,0,0
0,0,0,1,1
1,2,2,5,1
3,1,3,1,1
0,0,1,0,0
1,1,2,1,1
1,0,0,0,0
0,0,0,0,1
2,2,0,0,1
7,8,7,3,5
1,0,1,0,0
0,1,0,1,0
0,1,0,0,0
0,0,1,2,0
1,1,0,2,2
0,0,0,0,0
0,1,1,0,0
2,1,0,1,0
2,0,0,3,0
0,1,1,1,0
2,7,3,2,3
0,1,2,3,2
0,0,0,0,1
1,1,2,1,0
0,0,0,1,0
0,0,1,0,0
0,0,1,0,3
0,1,1,0,0
0,0,1,1,1
1,0,0,1,1
0,2,1,1,0
0,0,1,0,0
1,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,1,1,0,1
0,1,0,1,0
2,3,6,8,5
1,0,0,0,0
0,1,1,0,0
1,0,1,1,1
1,0,1,1,0
1,0,0,0,1
0,0,1,0,0
1,0,0,0,1
1,1,0,1,1
0,1,0,0,1
0,0,0,2,1
0,0,0,0,0
1,8,2,5,4
