V9,V30,V24,V37
0,1,1,0
0,1,1,1
0,0,0,0
0,0,0,1
1,3,1,2
0,0,0,1
0,0,1,0
0,0,1,0
0,0,0,1
0,0,0,0
1,0,0,0
1,1,0,0
0,0,1,0
0,0,0,1
0,0,0,0
1,0,0,0
0,0,0,0
1,0,1,2
1,2,0,0
0,0,2,0
0,0,0,0
1,2,1,0
0,0,0,0
0,0,1,0
1,0,0,0
0,0,0,0
0,1,0,0
0,2,0,0
0,0,0,1
0,2,0,0
0,0,1,0
0,0,1,0
0,0,0,0
1,0,1,0
0,0,0,0
0,0,0,2
0,2,0,0
0,0,2,0
0,2,1,0
0,1,1,1
0,1,0,0
1,0,0,0
1,0,1,0
1,1,0,0
0,0,0,0
0,1,0,0
0,0,0,0
0,0,0,1
1,0,1,0
0,0,1,1
0,0,0,0
0,0,1,0
0,0,0,0
0,0,1,0
0,0,0,1
0,1,0,0
0,0,1,0
0,0,2,1
0,0,0,0
1,0,1,0
0,0,0,0
0,1,0,0
1,0,0,1
0,1,0,0
1,0,1,0
0,0,0,0
0,0,0,1
0,1,3,0
0,0,0,1
8,6,4,4
0,0,0,1
0,1,0,0
1,0,1,0
1,0,0,0
1,0,1,0
0,0,0,0
1,1,1,1
1,0,0,0
0,1,0,0
2,1,1,1
