V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0.54,0.47,0.52,0.46,0.48,0.51,0.41,0.61,0.54,0.54
0.47,0.59,0.49,0.43,0.42,0.44,0.53,0.44,0.47,0.55
0.52,0.49,0.6,0.5,0.54,0.54,0.54,0.48,0.5,0.47
0.46,0.43,0.5,0.52,0.4,0.51,0.48,0.58,0.56,0.44
0.48,0.42,0.54,0.4,0.46,0.57,0.48,0.47,0.55,0.47
0.51,0.44,0.54,0.51,0.57,0.51,0.55,0.5,0.48,0.47
0.41,0.53,0.54,0.48,0.48,0.55,0.51,0.54,0.51,0.56
0.61,0.44,0.48,0.58,0.47,0.5,0.54,0.5,0.49,0.45
0.54,0.47,0.5,0.56,0.55,0.48,0.51,0.49,0.58,0.45
0.54,0.55,0.47,0.44,0.47,0.47,0.56,0.45,0.45,0.54
