V13,V37,V9,V40
0,0,0,1
0,0,0,6
0,0,0,3
1,0,0,2
0,1,0,25
2,0,1,5
1,3,1,620
2,2,2,14
0,0,0,71
1,1,1,5
0,0,0,1
0,0,0,2505
0,0,1,0
0,0,0,0
0,0,0,37
0,0,1,332
0,0,0,73
0,1,1,1
0,0,0,1
1,2,2,5
0,0,0,3
1,0,0,1
0,0,2,0
0,0,0,27
0,0,0,725
0,0,1,2
0,0,0,41
2,2,2,5
1,2,1,5
2,1,2,10
0,0,0,56
2,5,4,16
0,0,0,1
2,0,0,7
0,0,0,0
0,0,1,0
0,0,0,2
0,0,0,2
62,5,0,2701
0,0,0,0
0,0,0,10
1,1,1,18
2,0,1,523
0,0,0,15
2,0,1,1
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,10
3,1,2,3
1,0,0,201
0,1,0,90
1,0,0,27
0,0,0,0
0,0,0,6
0,0,0,0
0,0,0,1
0,1,0,1
0,1,0,6
0,0,0,3
0,0,0,31
0,1,2,319
1,0,1,0
1,1,2,15
0,0,0,29
0,0,0,4
0,0,0,6
0,0,0,4
2,0,0,2
0,2,1,13
0,1,0,195
0,0,0,1
0,0,0,571
0,0,1,1
0,1,1,0
0,1,0,0
0,1,0,0
0,1,0,2
0,0,0,3
0,0,1,4
