V37,V55
0,0
0,1
0,2
0,0
0,4
0,3
0,1
0,1
0,10
207,209
311,0
1,582
0,22
1,13
0,7
0,1
2,0
0,1
0,1
0,1
0,0
32,101
0,1
50,2
7,134
1,0
0,447
0,0
170,0
14,130
0,8
0,3
0,19
18,0
0,1
1,774
0,439
0,12
0,1
18,19
0,0
0,1
0,5
15,0
0,17
0,3
0,27
1,0
0,1
0,13
0,0
54,61
447,2
0,0
0,0
133,2
0,0
0,2
0,0
88,0
0,2
0,0
1,4
817,0
0,0
110,108
0,359
0,0
1,397
5,1
67,4
0,0
0,120
2,3
49,19
1,5
0,0
0,14
1,26
61,0
0,0
2,0
0,0
0,0
5,41
1,3
1,2
0,41
0,2
0,0
15,0
0,0
0,0
0,0
1,58
1567,1501
0,1
0,2
0,16
0,1
256,762
319,0
0,0
0,0
1,0
0,0
0,0
0,1
7,8
119,0
0,26
239,1
0,7
59,4
0,2
9,5
925,0
0,5
4,171
656,659
