megahit_1200253,megahit_1897738,megahit_610033,megahit_2013094,megahit_1317643,megahit_2806780,megahit_1440202,megahit_1637806,megahit_196573,megahit_1601965,megahit_1823047
703,1969,0,0,228,451,2293,5208,451,707,540
36,160,0,0,38,64,84,240,22,42,43
1,0,68,134,0,0,2,0,0,0,0
18,6,2,2,6,4,12,22,6,2,2
0,0,88,58,0,0,0,0,0,0,0
0,0,14,92,0,0,1,0,0,0,0
2,2,28,42,0,0,4,0,0,0,0
179,630,0,0,258,558,539,1041,127,84,187
46,148,0,0,132,169,184,245,24,50,72
85,210,0,0,16,24,284,672,36,56,178
16,42,2,2,12,14,194,220,13,38,42
6,4,2,2,3,2,4,2,2,2,2
