,V37,V24,V44,V7,V10,V46,V43,V45,V25,V11,V9
V37,0.0,0.0043163904542633524,0.0030023210018026436,0.4414010686605072,0.00037789951226796514,0.00013021705630866798,0.019596854626329208,0.00620248475571572,0.019965419791541206,0.010676978618525013,0.0054305293698565515
V24,0.0043163904542633524,0.0,0.00011915100766124453,0.4233343848372476,0.0021413188122484383,0.005651268516224439,0.005544447594241109,0.020813288396400842,0.005742001321543455,0.001448430022540359,6.404121049929934e-05
V44,0.0030023210018026436,0.00011915100766124453,0.0,0.42599395796209283,0.0012505574268611985,0.004137638996007942,0.007286213509818951,0.01779692874882921,0.007512328160593329,0.002385438868255485,0.0003578829086581248
V7,0.4414010686605072,0.4233343848372476,0.42599395796209283,0.0,0.43554704099256536,0.44816908903949415,0.4088820789019101,0.469401601743893,0.40868520735799585,0.4189935601704857,0.4214718501315108
V10,0.00037789951226796514,0.0021413188122484383,0.0012505574268611985,0.43554704099256536,0.0,0.0008650304889158411,0.014551928816282311,0.009634970448475388,0.014870175695024468,0.007052751226040321,0.00294544296567556
V46,0.00013021705630866798,0.005651268516224439,0.004137638996007942,0.44816908903949415,0.0008650304889158411,0.0,0.0222827005468631,0.0048878362371969075,0.02267492169214491,0.01273901143576961,0.006911510796819176
V43,0.019596854626329208,0.005544447594241109,0.007286213509818951,0.4088820789019101,0.014551928816282311,0.0222827005468631,0.0,0.04758531777317487,1.7339771222202316e-06,0.0014122213967688868,0.0044180455749520675
V45,0.00620248475571572,0.020813288396400842,0.01779692874882921,0.469401601743893,0.009634970448475388,0.0048878362371969075,0.04758531777317487,0.0,0.04815459096522101,0.032987113013442704,0.02317294671627923
V25,0.019965419791541206,0.005742001321543455,0.007512328160593329,0.40868520735799585,0.014870175695024468,0.02267492169214491,1.7339771222202316e-06,0.04815459096522101,0.0,0.0015113599213610884,0.004594630239268205
V11,0.010676978618525013,0.001448430022540359,0.002385438868255485,0.4189935601704857,0.007052751226040321,0.01273901143576961,0.0014122213967688868,0.032987113013442704,0.0015113599213610884,0.0,0.0009126476863465793
V9,0.0054305293698565515,6.404121049929934e-05,0.0003578829086581248,0.4214718501315108,0.00294544296567556,0.006911510796819176,0.0044180455749520675,0.02317294671627923,0.004594630239268205,0.0009126476863465793,0.0
