V53,V10
0,47
0,62
0,17
0,4
0,134
0,0
0,0
40,1
5,6
0,0
65,0
974,0
0,1
0,0
0,0
3,410
11,7
1,0
0,0
1,0
10,0
0,28
0,0
0,0
315,7
4,1
4,0
397,0
0,2
0,257
0,2
0,0
0,1
81,0
249,0
0,0
0,4
59,9
27,1
348,15
0,0
0,11
148,0
0,0
0,0
522,26
1,0
354,0
16,1
1,0
0,17
373,12
0,63
18,0
7,0
33,48
10,0
89,9
0,0
1,0
0,0
3,75
0,2
0,0
1,0
0,2
0,0
2,339
0,0
1,0
2,0
0,0
0,16
97,1
31,0
59,0
2,56
0,1
0,0
23,3
2,6
12,1
6,0
0,0
0,1
1,0
0,0
0,0
0,5
1,39
0,0
0,1
63,0
411,15
0,0
12,34
759,786
0,2
0,0
4,1
0,0
46,1
10,0
0,0
0,24
0,0
0,94
5,0
3,0
1520,1451
0,0
0,2
14,366
11,2
0,0
0,0
0,1
1,0
20,1
769,31
