V18,V71
0,0
38,48
0,4
2,0
0,55
0,1
0,18
553,2
3,8
0,0
0,0
0,0
67,7
4,3
1,0
3,2
7,4
72,2
0,0
0,4
11,3
0,0
8,0
1,1
1425,1478
132,410
24,3
27,2
0,2
0,129
4,4
0,5
1,2
0,1
0,9
0,0
12,303
0,551
0,1
0,0
5,10
0,0
76,81
1,0
437,3
9,6
0,2
0,1
186,24
1191,0
7,1
1,144
336,39
3,136
7,2
0,0
0,0
0,0
0,0
3,0
35,0
3,3
6,0
0,0
1,1
1,0
1,5
0,0
0,42
0,210
23,0
18,0
2,0
0,0
3,4
4,2
376,0
1,1
12,0
0,0
1,3
0,0
0,0
0,0
441,2
0,4
1,0
2,0
446,1
1,0
120,48
0,1
0,1
2,2
1,5
34,10
1,223
0,0
0,5
2,29
0,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
3,1
0,24
0,0
1,4
1,107
0,3
0,0
558,4
1,0
16,1
4,44
0,25
