V96,V60
0,2
0,13
0,0
0,0
0,745
0,0
0,11
1,338
0,29
0,3
0,3
0,0
0,4
0,0
0,133
0,1054
0,24
0,0
1,382
0,0
0,0
0,0
3,0
0,0
1,1
0,5
0,111
0,0
0,0
0,4
0,2
3,968
1,38
0,0
0,0
0,3
1,0
0,0
0,0
0,49
0,3
0,4
0,21
1,3
0,1
0,0
0,0
0,0
0,1
0,519
0,77
0,0
1,0
0,167
0,0
0,98
0,0
0,10
0,14
0,1
0,1
1,68
0,22
0,11
0,5
0,0
0,72
0,365
0,11
0,5
0,4
0,0
0,0
0,0
0,101
0,1287
0,241
1,0
0,0
0,0
0,0
0,0
0,8
0,0
0,29
1,0
0,14
0,30
0,39
0,1
0,13
0,3
0,17
0,786
0,17
0,0
0,0
0,0
1,0
0,0
0,6
0,0
0,0
0,5
4,2607
0,4
0,2
1,12
0,8
0,395
0,450
0,9
1,0
0,0
0,1
0,1
0,9
0,0
0,0
1,1
