"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X1.2","X2.2","X3.2","X4.2","X5.2","X6.2","X7.2","X8.2","X9.2","X10.2"
1.72146427612362,0,0,0,-0.230260558371154,0,-0.169406381880866,-0.622702334004236,-0.357020168149374,0,2.15518196851556,0,0,0,-0.238991489467581,0,-0.213908303592272,-0.89677314572872,-0.496893257145737,0,2.5228060504541,0.0779507710295432,0.031816455554516,0,-0.445712740007032,0,-0.235424457123977,-1.11931868114437,-0.619210490775603,0.20818401000615
0,1.47527229491963,0,0,-0.837343244225915,0,0,0,0,0,0,1.80400691715751,0,0,-1.20432584186273,0,0,0,0,0,0.0779507710295432,2.18335811065563,0,0,-2.09967795352293,0,0,0.162284492779663,0.447334515658361,0.0485406871659188
0,0,2.22238454700596,-0.0250989154873939,-0.684945661224077,0,0,-1.07003263764292,-0.139375109894848,0,0,0,3.14299446317858,0,-1.07223242760601,0,0,-1.70614812369178,-0.0848153123656694,0,0.031816455554516,0,4.10512659028009,0,-1.60618162788921,0,0.0671032389959309,-2.39437313002274,0,0.126474724326691
0,0,-0.0250989154873939,1.73442509996535,-0.694671503510723,0,0,0,-0.192798828592523,-0.479475221305086,0,0,0,2.21870341981258,-1.0562145931157,0,0,0,-0.190648052873093,-0.668984006263072,0,0,0,2.60410835152362,-1.37804494886196,0,0,0.0175875448860232,-0.147627789645979,-0.806662979863966
-0.230260558371154,-0.837343244225915,-0.684945661224077,-0.694671503510723,3.31718496515506,-0.547031528494672,-0.256239666380283,-0.0288431406292991,-0.550235346650673,-0.200064913956627,-0.238991489467581,-1.20432584186273,-1.07223242760601,-1.0562145931157,4.97814628555677,-0.822273924659877,-0.304895505034445,0,-0.908182801815832,-0.245325622018791,-0.445712740007032,-2.09967795352293,-1.60618162788921,-1.37804494886196,7.61395313199239,-1.06729192927759,-0.337181321708835,0,-1.65835310651462,-0.499994192839208
0,0,0,0,-0.547031528494672,1.97961766693866,-0.739468322082513,-0.196507269015634,-0.209351423638165,-0.022522455668828,0,0,0,0,-0.822273924659877,2.62598077431748,-1.11366451698788,-0.198993067405659,-0.240712517765888,-0.0134142884139348,0,0,0,0,-1.06729192927759,3.17086418967567,-1.43149965341267,-0.198530298971428,-0.23458580651157,-0.0234268569279626
-0.169406381880866,0,0,0,-0.256239666380283,-0.739468322082513,1.79757911751233,-0.237225279460238,-0.058165506166086,0,-0.213908303592272,0,0,0,-0.304895505034445,-1.11366451698788,2.2960040046289,-0.312613050570849,-0.0358573344275265,0,-0.235424457123977,0,0.0671032389959309,0,-0.337181321708835,-1.43149965341267,2.69310518765035,-0.421610342618201,-0.00029502096859923,-0.0369135294572618
-0.622702334004236,0,-1.07003263764292,0,-0.0288431406292991,-0.196507269015634,-0.237225279460238,2.30439841439432,0,0,-0.89677314572872,0,-1.70614812369178,0,0,-0.198993067405659,-0.312613050570849,3.2262506727489,0,0,-1.11931868114437,0.162284492779663,-2.39437313002274,0.0175875448860232,0,-0.198530298971428,-0.421610342618201,4.0834432959927,0,0.0570199939486151
-0.357020168149374,0,-0.139375109894848,-0.192798828592523,-0.550235346650673,-0.209351423638165,-0.058165506166086,0,1.81365952201612,-0.070220811914871,-0.496893257145737,0,-0.0848153123656694,-0.190648052873093,-0.908182801815832,-0.240712517765888,-0.0358573344275265,0,2.29287223355372,-0.0911814855809152,-0.619210490775603,0.447334515658361,0,-0.147627789645979,-1.65835310651462,-0.23458580651157,-0.00029502096859923,0,2.78141390631174,-0.175550244092539
0,0,0,-0.479475221305086,-0.200064913956627,-0.022522455668828,0,0,-0.070220811914871,1.33723322294046,0,0,0,-0.668984006263072,-0.245325622018791,-0.0134142884139348,0,0,-0.0911814855809152,1.55188920771268,0.20818401000615,0.0485406871659188,0.126474724326691,-0.806662979863966,-0.499994192839208,-0.0234268569279626,-0.0369135294572618,0.0570199939486151,-0.175550244092539,1.74427483682272
