megahit_3108145,megahit_835663,megahit_414619,megahit_2081065,megahit_362044,megahit_1261486,megahit_96994,megahit_2446855,megahit_1012990,megahit_1611064
1964,406,258,1417,5167,743,222,121,188,986
292,50,145,243,750,48,128,58,12,456
14,0,0,8,16,2,0,0,0,0
60,14,10,30,101,6,10,6,2,4
15,4,0,12,16,0,2,0,0,0
16,0,0,4,8,2,2,0,0,0
10,2,0,4,12,4,8,2,1,2
2424,283,401,2033,6088,182,347,149,52,438
578,64,419,564,1683,84,275,165,14,468
62,26,14,34,138,18,12,10,4,176
68,32,36,68,156,60,50,12,8,525
24,5,2,27,24,2,0,0,0,0
